typo,id_station,lat,lon,code_insee,code_postal
station meteo,000C4,43.2747,5.3598,13055,13001
station meteo,000C7,47.14,5.96,25149,25440
station meteo,000C5,47.96935,-1.74551,35139,35890
station meteo,000C6,47.0358,-1.6403,44188,44310
station meteo,000C9,45.81679,4.59601,69171,69210
station meteo,000D3,48.5,-4.2,29116,29400
station meteo,000D2,48.588354,-4.347839,29094,29260
station meteo,000D5,46.75789,0.48061,86174,86530
station meteo,000BP,45.18333,0.71667,24322,24000
station meteo,000F3,43.2826,3.4651,34003,34300
station meteo,000D8,48.4,-4.48333,29019,29200
station meteo,000F4,45.9517,7.106,nan,nan
station meteo,000F7,46.2955479074,6.165768206,nan,nan
station meteo,000F8,44.50602,-0.76389,33042,33830
station meteo,000G1,49.0703376,7.2132862,57261,57410
station meteo,000G2,48.7535,7.8135,67169,67240
station meteo,000G3,49.4167,1.15,76429,76240
station meteo,000G4,48.955,7.6353,67324,67110
station meteo,000G6,46.1167,-0.93333,17003,17290
station meteo,000G7,44.85,3.75,43192,43340
station meteo,000G9,52.065,6.515,nan,nan
station meteo,000H0,51.987,5.945,nan,nan
station meteo,000H3,44.9,4.16667,43091,43150
station meteo,000H4,46.5,3.08333,03170,03210
station meteo,000H6,46.985,3.972,58111,58430
station meteo,000H8,43.6,3.8833333,34172,34000
station meteo,000H9,48.9938,1.847591,78327,78820
station meteo,000I1,43.9166667,3.7333333,34128,34190
station meteo,000I2,43.45,2.9833333,34218,34360
station meteo,"0,00E+00",47.95,-0.7166667,53094,53260
station meteo,"0,00E+00",46.3383611,2.47291666,03246,03380
station meteo,000K3,44.10823,0.89101,82186,82400
station meteo,"0,00E+00",43.5833333,3.8333333,34270,34430
station meteo,"0,00E+00",48.3166667,6.4666667,88224,88330
station meteo,000I4,47.7888889,-3.4866667,56078,56520
station meteo,000I5,49.6333333,4.9166667,08088,08450
station meteo,000I6,50.35,4.25,nan,nan
station meteo,000I9,46.53333,-0.68333,85094,85240
station meteo,000J2,46.26685,2.63827,03314,03310
station meteo,000I7,44.6773811394476,6.61900520324707,05052,05600
