CodeCommune;NomCommune;Montagne;ZoneDefavoriseeSimple;ZoneHandicapSpecifique
1372;SAINT-MARTIN-DE-BAVEL;;ZDS;
1373;SAINT-MARTIN-DU-FRENE;M;;
1374;SAINT-MARTIN-DU-MONT;;ZDS;
1380;SAINT-NIZIER-LE-BOUCHOUX;;ZDS;
1384;SAINT-RAMBERT-EN-BUGEY;M;;
1386;SAINT-SORLIN-EN-BUGEY;;ZDS;
1388;SAINT-TRIVIER-DE-COURTES;;ZDS;
1391;SALAVRE;;ZDS;
1392;SAMOGNAT;M;;
1396;SAULT-BRENAZ;;ZDS;
1400;SEILLONNAZ;M;;
1401;SERGY;M;;
1402;SERMOYER;;ZDS;
1403;SERRIERES-DE-BRIORD;;ZDS;
1404;SERRIERES-SUR-AIN;M;;
1406;SERVIGNAT;;ZDS;
1407;SEYSSEL;;ZDS;
1408;SIMANDRE-SUR-SURAN;;ZDS;
1410;SONTHONNAX-LA-MONTAGNE;M;;
1411;SOUCLIN;M;;
1413;SURJOUX;M;;
1414;SUTRIEU;M;;
1415;TALISSIEU;;ZDS;
1416;TENAY;M;;
1417;THEZILLIEU;M;;
1419;THOIRY;M;;
1421;TORCIEU;M;;
1426;VAL-REVERMONT;;ZDS;
1431;VAUX-EN-BUGEY;;ZDS;
1432;VERJON;;ZDS;
1433;VERNOUX;;ZDS;
1436;VESANCY;M;;
1437;VESCOURS;;ZDS;
1439;VESINES;;ZDS;
1441;VIEU-D'IZENAVE;M;;
1442;VIEU;M;;
1444;VILLEBOIS;;ZDS;
1447;VILLEREVERSURE;;ZDS;
1448;VILLES;M;;
1452;VIRIEU-LE-GRAND;M;;
1453;VIRIEU-LE-PETIT;M;;
1454;VIRIGNIN;;ZDS;
1456;VONGNES;;ZDS;
3002;AGONGES;;ZDS;
3003;AINAY-LE-CHATEAU;;ZDS;
3004;ANDELAROCHE;;ZDS;
3005;ARCHIGNAT;;ZDS;
3006;ARFEUILLES;M;;
3007;ARPHEUILLES-SAINT-PRIEST;;ZDS;
3008;ARRONNES;M;;
3009;AUBIGNY;;ZDS;
3010;AUDES;;ZDS;
3011;AUROUER;;ZDS;
3012;AUTRY-ISSARDS;;ZDS;
3013;AVERMES;;ZDS;
3014;AVRILLY;;ZDS;
3015;BAGNEUX;;ZDS;
